ID;ADDRESS;MAP_SIZE;LOOKUP;KEY_HASH;LOOKUP_KEYS_NUMBER;KEYS_POSITIONS;
1644;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1645;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1646;0x00007fe9307e8bda;4;1;sign 1766118830;1;3;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
1650;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 exp 1445917680 sign 1766118830 ;4;0 1 2 3 ;
1679;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1680;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1681;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 ;2;1 2 ;
1682;0x00007fe9307e8bda;4;1;sign 1766118830;1;3;
1683;0x00007fe9307e8bda;4;1;coef 4292789511 sign 1766118830 ;2;1 3 ;
1684;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1685;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1686;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
1516;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1517;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1519;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1520;0x00007fe9307e8bda;4;1;coef 4292789511 sign 1766118830 ;2;1 3 ;
1524;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1527;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1528;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1529;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1530;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
1628;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1629;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1631;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1632;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1635;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1637;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1638;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 exp 1445917680 sign 1766118830 ;4;0 1 2 3 ;
1639;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1640;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1641;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
1650;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 exp 1445917680 sign 1766118830 ;4;0 1 2 3 ;
1550;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1551;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1553;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1554;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1556;0x00007fe9307e8bda;4;1;coef 4292789511 sign 1766118830 ;2;1 3 ;
1558;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1559;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 exp 1445917680 sign 1766118830 ;4;0 1 2 3 ;
1560;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1562;0x00007fe9307e8bda;4;1;sign 1766118830;1;3;
1563;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 sign 1766118830 ;3;0 1 3 ;
1564;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1565;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1566;0x00007fe9307e8bda;4;1;coef 4292789511 exp 1445917680 sign 1766118830 ;3;1 2 3 ;
1567;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
1644;0x00007fe9307e8bda;4;1;'__struct__' 3251439783;1;0;
1645;0x00007fe9307e8bda;4;1;coef 4292789511;1;1;
1646;0x00007fe9307e8bda;4;1;sign 1766118830;1;3;
1547;0x00007fe9307e92ca;5;1;precision 2963381113;1;2;
1657;0x00007fe9307e8bda;4;1;'__struct__' 3251439783 coef 4292789511 ;2;0 1 ;
1658;0x00007fe9307e8bda;4;1;exp 1445917680 sign 1766118830 ;2;2 3 ;
1695;0x00007fe9307e92ca;5;1;'__struct__' 3251439783;1;0;
